LOCATION,PRICE,LAND AREA,ROAD ACCESS,FACING,FLOOR,BEDROOM,BATHROOM,PROPERTY AGE
"Bhangal , Kathmandu",17800000,1060.9750000000001,8,north,1.5,3.0,2.0,7.0
"Hattigaunda, Kathmandu",34500000,1711.25,13,north,3.0,7.0,4.0,7.0
"Imadol, Lalitpur",35000000,1369.0,13,west,2.5,4.0,4.0,5.0
"Kapan, Kathmandu",18800000,752.95,12,east,2.5,4.0,3.0,5.0
"Imadol, Lalitpur",27000000,1026.75,10,east,2.5,5.0,4.0,21.0
"Phutung, Kathmandu",15000000,1026.75,13,west,1.5,3.0,2.0,27.0
"Kadaghari, Kathmandu",65000000,1779.7,12,north,4.0,6.0,4.0,7.0
"Lolang, Kathmandu",25500000,1026.75,10,west,2.5,8.0,3.0,16.0
"Balkumari, Lalitpur",33000000,787.175,25,north,4.5,5.0,3.0,23.0
"Tikathali, Lalitpur",25000000,1060.9750000000001,13,north,2.5,6.0,3.0,25.0
"Nakhipot, Lalitpur",71000000,1369.0,10,east-south,3.5,7.0,6.0,7.0
"Imadol, Lalitpur",37000000,1711.25,13,south-west,2.5,6.0,6.0,5.0
"Kusunti, Lalitpur",39500000,1779.7,13,east,2.5,4.0,4.0,5.0
"Kharibot, Kathmandu",32500000,1369.0,10,,3.5,10.0,,17.0
"Imadol, Lalitpur",27500000,1026.75,13,west,3.0,5.0,3.0,6.0
"Dhapasi, Kathmandu",135000000,4791.5,20,east-south,3.5,5.0,6.0,14.0
"Imadol, Lalitpur",22000000,787.175,10,north,3.0,4.0,3.0,10.0
"Thamel, Kathmandu",125000000,2053.5,13,east-south,6.0,,,16.0
"Dhapasi, Kathmandu",12000000,1026.75,20,west,2.5,4.0,4.0,15.0
"Bagbazar, Kathmandu",70000000,1745.475,12,east-north,5.5,4.0,3.0,11.0
"Sukedhara, Kathmandu",55000000,1779.7,13,south,2.5,4.0,3.0,6.0
"Pasikot, Kathmandu",28000000,1779.7,12,east-north,1.0,2.0,2.0,5.0
"Satdobato, Lalitpur",45000000,2087.725,13,west,2.5,5.0,5.0,23.0
"Bistachhap, Lalitpur",13500000,1369.0,13,south,2.5,8.0,4.0,21.0
"Imadol, Lalitpur",32500000,1129.425,13,south,2.5,5.0,4.0,7.0
"Imadol, Lalitpur",37500000,1369.0,16,east,2.5,4.0,4.0,7.0
"Thankot, Kathmandu",14500000,1026.75,10,east-north,1.0,2.0,,7.0
"Kalanki, Kathmandu",26000000,1129.425,10,north,3.0,5.0,6.0,5.0
"Maharajgunj, Kathmandu",24000000,1369.0,14,east,2.0,4.0,2.0,29.0
"Dhumbarahi, Kathmandu",38000000,1369.0,10,east,2.5,3.0,3.0,27.0
"Kapan, Kathmandu",29500000,1369.0,13,west,2.4,6.0,5.0,7.0
"Kalanki, Kathmandu",25500000,1437.45,20,east-north,2.0,5.0,4.0,16.0
"Kapan, Kathmandu",31000000,1369.0,12,north,3.5,8.0,3.0,23.0
"Lolang, Kathmandu",24000000,1095.2,26,west,3.5,,3.0,7.0
"Imadol, Lalitpur",42500000,1369.0,20,east-south,2.5,4.0,4.0,5.0
"Maharajgunj, Kathmandu",30000000,1026.75,20,west,2.5,4.0,5.0,7.0
"Budhanilkantha, Kathmandu",34500000,1369.0,13,south,2.5,6.0,3.0,5.0
"Ratopool, Kathmandu",138000000,5476.0,10,west,4.0,,,29.0
"Sanobharyang, Kathmandu",74000000,3764.75,13,south,3.5,8.0,4.0,27.0
"Sunakothi, Lalitpur",37500000,1095.2,20,east-south,2.5,4.0,4.0,11.0
"Bhaisepati, Lalitpur",85000000,1711.25,14,south,2.5,5.0,7.0,7.0
"Bhaktapur, Bhaktapur",20000000,1026.75,12,east,2.0,2.0,2.0,12.0
"Hattigaunda, Kathmandu",34500000,2087.725,14,east-north,2.0,7.0,4.0,14.0
"Panipokhari, Kathmandu",65000000,1095.2,18,east-north,3.5,7.0,4.0,16.0
"Gokarna, Kathmandu",30000000,1369.0,32,west,3.5,6.0,3.0,6.0
"Pasikot, Kathmandu",34000000,1369.0,13,east,2.5,5.0,4.0,4.0
"Dhumbarahi, Kathmandu",67500000,2738.0,12,east-south,2.0,9.0,6.0,7.0
"Budhanilkantha, Kathmandu",47000000,2053.5,16,south,2.0,6.0,3.0,6.0
"Chabahil, Kathmandu",50000000,2053.5,9,,3.0,,,
"Gongabu, Kathmandu",60000000,1369.0,20,west,4.0,6.0,5.0,8.0
"Khadka Gaun, Kathmandu",33000000,1369.0,13,west,2.0,5.0,4.0,8.0
"Dhumbarahi, Kathmandu",140000000,5818.25,12,south,2.5,6.0,3.0,10.0
"Budhanilkantha, Kathmandu",34000000,1369.0,13,north,2.5,6.0,3.0,4.0
"Lazimpat, Kathmandu",42000000,1471.675,12,east-north,2.5,6.0,3.0,11.0
"Budhanilkantha, Kathmandu",34500000,1369.0,13,south,2.5,6.0,3.0,12.0
"Sunakothi, Lalitpur",37500000,1711.25,20,east-north,2.5,3.0,4.0,8.0
"Bhaisepati, Lalitpur",78000000,2053.5,13,east-north,2.5,4.0,5.0,14.0
"Hattigaunda, Kathmandu",77000000,2121.9500000000003,20,west,2.5,4.0,5.0,16.0
"Syuchatar, Kathmandu",38000000,1369.0,18,east-south,2.5,4.0,3.0,6.0
"Gwarko, Lalitpur",15500000,787.175,13,south,1.0,2.0,1.0,6.0
"Chhetrapati, Kathmandu",125000000,3422.5,15,north,5.0,10.0,4.0,16.0
"Imadol, Lalitpur",23500000,1026.75,13,east,2.5,4.0,4.0,5.0
"Baluwatar, Kathmandu",35000000,684.5,14,,4.0,,,5.0
"Sitapaila, Kathmandu",62500000,2464.2000000000003,14,north,2.5,4.0,5.0,16.0
"Thaiba, Lalitpur",18000000,1129.425,20,south,2.5,4.0,3.0,21.0
"Ochu Height, Lalitpur",27000000,1095.2,13,south,2.5,5.0,3.0,16.0
"Koteshwor, Kathmandu",41500000,1369.0,6,south,4.0,5.0,5.0,8.0
"Sanagaun, Lalitpur",20400000,1026.75,10,south-west,2.5,4.0,3.0,6.0
"Bhaisepati, Lalitpur",78000000,2053.5,13,west,2.0,4.0,5.0,21.0
"Chardobato, Bhaktapur",41000000,1437.45,20,south,3.5,6.0,6.0,11.0
"Mandikhatar, Kathmandu",40000000,1471.675,13,west,2.5,4.0,3.0,5.0
"Deuwa chowk, Kathmandu",43500000,2053.5,13,north,3.0,6.0,4.0,5.0
"Dhapasi, Kathmandu",58000000,3422.5,13,east,2.0,4.0,4.0,5.0
"Gothatar, Kathmandu",38000000,1369.0,10,north,2.5,8.0,5.0,7.0
"Grande Hospital, Kathmandu",30000000,1095.2,13,north-west,3.0,12.0,5.0,5.0
"Danchhi, Kathmandu",15000000,1026.75,10,south,2.5,4.0,4.0,11.0
"Sainbu, Lalitpur",30000000,1369.0,15,north,2.5,5.0,4.0,5.0
"Harisiddhi, Lalitpur",35000000,2053.5,13,north,2.5,7.0,4.0,7.0
"Thali, Kathmandu",15500000,1197.875,10,north,2.5,4.0,2.0,6.0
"Kapan, Kathmandu",29500000,1403.225,13,east-north,2.5,6.0,5.0,11.0
"Budhanilkantha, Kathmandu",33500000,1095.2,16,west,2.5,,,11.0
"Nakhipot, Lalitpur",50000000,1540.125,16,north,3.5,5.0,6.0,21.0
"Khumaltar, Lalitpur",55000000,1711.25,13,south,3.0,3.0,4.0,12.0
"Maharajgunj, Kathmandu",75000000,1437.45,14,east,4.0,8.0,8.0,5.0
"Bhangal , Kathmandu",29500000,1095.2,10,north,2.5,5.0,3.0,11.0
"Shankhamul, Kathmandu",68000000,2121.9500000000003,20,east-north,3.5,7.0,3.0,5.0
"Gaurighat, Kathmandu",23000000,1026.75,13,west,2.5,4.0,4.0,5.0
"Gwarko, Lalitpur",27000000,1060.9750000000001,13,south,2.5,4.0,3.0,13.0
"Imadol, Lalitpur",29000000,1369.0,13,north,2.5,5.0,4.0,21.0
"Imadol, Lalitpur",27500000,1095.2,13,east,2.5,4.0,4.0,21.0
"Narayantar, Kathmandu",35000000,1437.45,12,east,3.5,12.0,6.0,21.0
"Thali, Kathmandu",13300000,1095.2,10,west,1.0,2.0,1.0,5.0
"Bhangal , Kathmandu",28500000,1095.2,8,east,2.5,4.0,3.0,21.0
"Dhapasi, Kathmandu",61000000,3422.5,13,east,2.0,4.0,3.0,14.0
"Suryabinayak, Bhaktapur",82000000,2053.5,10,east-south,3.0,8.0,3.0,5.0
"Budhanilkantha, Kathmandu",46000000,1813.925,27,east-north,3.5,6.0,,13.0
"Lubhu, Lalitpur",17000000,752.95,13,east-north,2.5,5.0,2.0,5.0
"Golfutar, Kathmandu",80000000,3080.25,10,,2.5,,,4.0
"Budhanilkantha, Kathmandu",39000000,2053.5,13,south-west,3.0,6.0,6.0,4.0
"Jarankhu, Kathmandu",16000000,1095.2,10,south-west,2.5,4.0,3.0,12.0
"Basundhara, Kathmandu",75000000,2464.2000000000003,12,,3.0,,,19.0
"Katunje, Bhaktapur",35000000,2738.0,13,north,2.5,5.0,4.0,16.0
"Chyau Danda, Lalitpur",24000000,1026.75,20,south,2.5,4.0,3.0,13.0
"Bansbari, Kathmandu",65000000,2087.725,12,north,2.5,3.0,3.0,5.0
"Imadol, Lalitpur",26500000,1060.9750000000001,20,south,2.5,4.0,3.0,5.0
"Naya Bazar, Kathmandu",33000000,1369.0,10,north,2.5,5.0,4.0,5.0
"Nagdaha, Lalitpur",41500000,1369.0,20,south,2.5,4.0,4.0,11.0
"Thecho, Lalitpur",19000000,1369.0,16,north,2.5,4.0,4.0,7.0
"Mandikhatar, Kathmandu",65000000,2738.0,13,east-north,2.5,5.0,5.0,5.0
"Icimod, Lalitpur",30500000,1369.0,13,west,2.5,5.0,4.0,5.0
"Imadol, Lalitpur",40000000,1369.0,26,north,2.5,3.0,3.0,11.0
"Nakhipot, Lalitpur",70000000,1369.0,12,east-north,3.5,3.0,,5.0
"Chundevi, Kathmandu",75000000,2087.725,12,south,2.5,5.0,4.0,4.0
"Godawari, Lalitpur",41900000,1711.25,20,north,2.5,5.0,4.0,11.0
"Chunikhel, Kathmandu",25000000,1026.75,10,south,3.5,7.0,3.0,12.0
"Gairidhara, Kathmandu",51000000,1711.25,12,north,2.5,4.0,4.0,6.0
"Lazimpat, Kathmandu",56000000,2053.5,10,east,2.5,5.0,4.0,19.0
"Chabahil, Kathmandu",35000000,2121.9500000000003,8,west,2.5,4.0,2.0,19.0
"Matatirtha, Kathmandu",18000000,1369.0,13,east-north,1.0,3.0,2.0,5.0
"Bansbari, Kathmandu",55000000,2121.9500000000003,13,east-south,2.5,6.0,5.0,11.0
"Dahachowk, Kathmandu",29000000,1813.925,13,north,2.5,4.0,5.0,18.0
"Bhaisepati, Lalitpur",55000000,1437.45,10,east-south,2.5,3.0,4.0,19.0
"Swoyambhu, Kathmandu",27500000,752.95,20,south,2.5,5.0,3.0,19.0
"Bafal, Kathmandu",36500000,1711.25,13,south,3.0,5.0,4.0,16.0
"Chapali, Kathmandu",61500000,2053.5,13,south,2.5,5.0,3.0,13.0
"Bhaisepati, Lalitpur",,2806.45,13,,2.5,6.0,7.0,5.0
"Chandragiri, Kathmandu",17000000,1095.2,10,east-south,2.5,6.0,3.0,5.0
"Imadol, Lalitpur",25500000,1026.75,13,west,2.5,4.0,4.0,5.0
"Imadol, Lalitpur",32500000,1369.0,13,east,2.5,5.0,5.0,5.0
"Imadol, Lalitpur",26500000,1197.875,13,south,3.0,6.0,5.0,11.0
"Hattiban, Lalitpur",20500000,1095.2,13,east-south,2.5,5.0,4.0,7.0
"Nakhipot, Lalitpur",,1095.2,20,south,2.5,4.0,4.0,5.0
"Manamaiju, Kathmandu",25000000,1437.45,12,south-west,2.5,6.0,3.0,5.0
"Godamchaur, Lalitpur",29000000,4107.0,13,south,2.5,14.0,6.0,11.0
"Tripureshwor, Kathmandu",32000000,1711.25,8,north,2.5,4.0,3.0,11.0
"Budhanilkantha, Kathmandu",51500000,2840.675,13,south-west,2.0,5.0,3.0,12.0
"Dhapasi, Kathmandu",58000000,3422.5,13,east,2.5,4.0,2.0,5.0
"Kupandole, Lalitpur",64000000,1711.25,20,east,4.5,10.0,6.0,7.0
"Banasthali, Kathmandu",23500000,855.625,13,east,4.0,3.0,3.0,5.0
"Kumaripati, Lalitpur",45000000,2053.5,15,south,3.5,7.0,4.0,4.0
"Swoyambhu, Kathmandu",31500000,1060.9750000000001,10,north-west,3.5,6.0,4.0,6.0
"Swoyambhu, Kathmandu",29500000,1026.75,10,north,3.5,6.0,4.0,5.0
"Shantinagar, Kathmandu",49800000,1813.925,9,south,4.0,11.0,4.0,31.0
"Bafal, Kathmandu",37000000,1095.2,12,east-north,2.5,4.0,3.0,4.0
"Imadol, Lalitpur",,1369.0,12,north,2.5,,,6.0
"Sundarbasti, Kathmandu",27000000,1095.2,13,south,3.5,8.0,4.0,18.0
"Taukhel, Lalitpur",38000000,1437.45,20,west,2.5,5.0,4.0,5.0
"Tahachal, Kathmandu",13500000,752.95,10,east,1.0,2.0,1.0,23.0
"Sundarbasti, Kathmandu",39500000,1711.25,20,north,2.5,6.0,5.0,19.0
"Gagangauda, Kaski",100000000,936.0,20,north,1.0,2.0,2.0,16.0
"Kapan, Kathmandu",32500000,1813.925,13,east-south,3.0,6.0,3.0,18.0
"Imadol, Lalitpur",27000000,1095.2,20,west,2.5,5.0,4.0,5.0
"Imadol, Lalitpur",28500000,1129.425,13,north-west,2.5,4.0,4.0,16.0
"Imadol, Lalitpur",25000000,1437.45,13,east-north,2.5,6.0,5.0,31.0
"Danchhi, Kathmandu",15000000,1026.75,10,south,2.5,4.0,3.0,6.0
"Imadol, Lalitpur",27500000,1026.75,13,east-south,3.0,5.0,3.0,7.0
"Bhaisepati, Lalitpur",67500000,1369.0,12,north,2.5,8.0,8.0,5.0
"Bhangal , Kathmandu",29000000,1129.425,13,south,2.5,5.0,4.0,8.0
"Sundarbasti, Kathmandu",29800000,1369.0,20,east,2.5,5.0,3.0,8.0
"Godawari, Lalitpur",,17454.75,22,south,2.5,6.0,4.0,10.0
"Jhaukhel, Bhaktapur",14000000,1403.225,10,east-north,3.0,2.0,2.0,4.0
"Bhaisepati, Lalitpur",38000000,1129.425,12,east,2.5,4.0,5.0,11.0
"Budhanilkantha, Kathmandu",67500000,1369.0,10,west,2.5,8.0,8.0,7.0
"Budhanilkantha, Kathmandu",65000000,3251.375,10,north,2.0,4.0,4.0,12.0
"Matatirtha, Kathmandu",18000000,1369.0,13,east-north,1.0,3.0,2.0,14.0
"Imadol, Lalitpur",27500000,1095.2,13,south,2.5,4.0,4.0,16.0
"Imadol, Lalitpur",23500000,752.95,8,south,2.5,8.0,4.0,6.0
"Imadol, Lalitpur",27500000,1026.75,8,east,2.5,5.0,4.0,6.0
"Imadol, Lalitpur",26000000,1060.9750000000001,13,north,2.5,5.0,4.0,17.0
"Tyanglafat, Kathmandu",24500000,1026.75,10,east-north,2.5,7.0,4.0,16.0
"Kageshwori, Kathmandu",25500000,1026.75,13,west,3.0,5.0,3.0,5.0
"Chandragiri, Kathmandu",22500000,1369.0,13,east,2.5,4.0,3.0,5.0
"Chandragiri, Kathmandu",13100000,1026.75,12,south,2.0,6.0,3.0,25.0
"Nayapati, Kathmandu",33000000,1369.0,20,west,2.5,4.0,6.0,21.0
"Thaiba, Lalitpur",22000000,1060.9750000000001,13,east,2.5,5.0,4.0,21.0
"Imadol, Lalitpur",23500000,1060.9750000000001,13,north,2.5,4.0,5.0,21.0
"Imadol, Lalitpur",21000000,8383.5299,13,north,2.5,4.0,4.0,16.0
"Imadol, Lalitpur",42500000,1369.0,13,south,2.5,6.0,4.0,8.0
"Chandragiri, Kathmandu",19000000,1026.75,10,west,2.5,5.0,3.0,21.0
"Budhanilkantha, Kathmandu",,2053.5,14,south,2.5,5.0,5.0,11.0
"Sukedhara, Kathmandu",,2464.2000000000003,14,east-south,2.5,5.0,3.0,5.0
"Tokha, Kathmandu",23000000,1129.425,10,west,2.5,5.0,5.0,5.0
"Yogikuti, Rupandehi",,2551.5090999999998,18,north,2.5,4.0,5.0,5.0
"Budhanilkantha, Kathmandu",40000000,1711.25,15,east-south,2.5,6.0,6.0,21.0
"Thulobharyang, Kathmandu",30000000,1026.75,13,west,2.5,4.0,3.0,7.0
"Imadol, Lalitpur",,2738.0,12,east-north,2.5,3.0,4.0,5.0
"Bhaisepati, Lalitpur",55000000,1437.45,12,south,2.0,3.0,4.0,11.0
"Chappal karkhana, Kathmandu",62000000,3422.5,14,east-south,2.5,4.0,4.0,7.0
"Budhanilkantha, Kathmandu",40000000,1711.25,15,east-south,2.5,6.0,6.0,6.0
"Pasikot, Kathmandu",38000000,1745.475,14,south,2.5,5.0,3.0,5.0
"Nakhipot, Lalitpur",25500000,1095.2,20,east,2.5,9.0,7.0,11.0
"Imadol, Lalitpur",21000000,787.175,13,west,2.5,6.0,2.0,21.0
"Dhobighat, Lalitpur",76500000,3080.25,12,south,2.5,5.0,4.0,12.0
"Budhanilkantha, Kathmandu",25000000,684.5,12,west,2.5,6.0,4.0,5.0
"Gairi Gaun, Kathmandu",25000000,1060.9750000000001,10,north,3.0,6.0,4.0,11.0
"Ichangu Narayan, Kathmandu",25000000,787.175,13,north-west,2.5,6.0,3.0,11.0
"Gongabu, Kathmandu",29000000,1026.75,13,east-north,4.0,5.0,6.0,11.0
"Bhaisepati, Lalitpur",,,15,south,2.5,3.0,4.0,5.0
"Golfutar, Kathmandu",,1095.2,13,south-west,2.5,5.0,4.0,6.0
"Bhaisepati, Lalitpur",31000000,1129.425,15,south-west,2.5,5.0,4.0,5.0
"Dhapasi, Kathmandu",,5476.0,14,south,2.5,5.0,5.0,5.0
"Naya Bazar, Kathmandu",,1129.425,20,east-south,2.5,4.0,5.0,10.0
"Sukedhara, Kathmandu",39800000,2053.5,12,south,2.5,4.0,4.0,7.0
"Budhanilkantha, Kathmandu",45000000,3080.25,18,north,2.5,5.0,4.0,21.0
"Goldhunga, Kathmandu",15000000,752.95,13,east,2.5,5.0,5.0,21.0
"Thapathali, Kathmandu",110000000,3764.75,13,south,2.5,4.0,3.0,5.0
"Bhaisepati, Lalitpur",55000000,1779.7,16,east-south,2.5,5.0,4.0,21.0
"Bhaisepati, Lalitpur",32500000,1129.425,13,east-south,2.5,4.0,4.0,5.0
"Imadol, Lalitpur",36000000,2395.75,10,east-north,2.5,4.0,3.0,5.0
"Lolang, Kathmandu",25000000,1471.675,10,east,3.5,8.0,4.0,24.0
"Lainchaur, Kathmandu",43000000,1711.25,10,south,3.5,17.0,10.0,21.0
"Ramkot, Kathmandu",,2087.725,22,north,3.5,4.0,,
"Balkot, Bhaktapur",29500000,1711.25,13,,2.5,4.0,3.0,14.0
"Thado Dhunga, Lalitpur",77500000,3080.25,20,south-west,2.5,5.0,4.0,14.0
"Sunakothi, Lalitpur",42500000,2053.5,20,east-south,2.5,3.0,3.0,5.0
"Bhaisepati, Lalitpur",35000000,1129.425,22,north,2.5,5.0,4.0,19.0
"Bagdol, Lalitpur",54000000,1813.925,20,east-south,2.5,7.0,4.0,19.0
"Budhanilkantha, Kathmandu",45000000,1711.25,15,north-west,2.5,5.0,6.0,16.0
"Pasikot, Kathmandu",38000000,1745.475,14,south-west,2.5,5.0,3.0,13.0
"Bhangal , Kathmandu",29500000,1129.425,13,west,2.5,4.0,3.0,5.0
"Baluwakhani, Kathmandu",34500000,1369.0,13,east,2.5,6.0,5.0,5.0
"Bhangal , Kathmandu",,1711.25,13,,2.5,5.0,4.0,5.0
"Aakasedhara, Kathmandu",28500000,1060.9750000000001,13,north,3.5,4.0,3.0,5.0
"Katunje, Bhaktapur",20500000,1026.75,20,east-south,3.0,6.0,4.0,5.0
"Rudreshwor, Kathmandu",50000000,1745.475,13,south,2.5,4.0,5.0,4.0
"Golfutar, Kathmandu",29000000,1095.2,16,west,2.5,5.0,5.0,4.0
"Dhapakhel, Lalitpur",29000000,1095.2,12,east-south,2.5,3.0,3.0,11.0
"Bhaisepati, Lalitpur",31000000,1437.45,15,south-west,2.5,4.0,5.0,6.0
"Budhanilkantha, Kathmandu",,,20,east,2.5,5.0,5.0,19.0
"Bauthali, Kathmandu",25000000,1403.225,12,west,2.5,6.0,5.0,19.0
"Raniban, Kathmandu",31000000,1197.875,14,south-west,3.5,6.0,5.0,13.0
"Goldhunga, Kathmandu",29500000,1026.75,12,north,2.5,4.0,3.0,5.0
"Tikathali, Lalitpur",29500000,1095.2,13,east,2.0,5.0,5.0,5.0
"Kalopool, Kathmandu",30000000,1437.45,4,south,1.0,2.0,2.0,11.0
"Bhaisepati, Lalitpur",62500000,1813.925,16,south-west,2.5,3.0,3.0,7.0
"Nakkhu, Lalitpur",39000000,1711.25,13,east,2.5,4.0,4.0,5.0
"Mid Baneshwor, Kathmandu",100000000,4107.0,13,east,2.0,5.0,3.0,11.0
"Sitapaila, Kathmandu",31000000,1369.0,13,east-south,2.5,5.0,4.0,4.0
"Nakhudole, Lalitpur",29000000,1369.0,20,west,2.5,3.0,2.0,11.0
"Imadol, Lalitpur",26000000,1060.9750000000001,13,north,2.0,4.0,5.0,12.0
"Bhaisepati, Lalitpur",41000000,1369.0,13,south-west,2.0,5.0,5.0,6.0
"Mandikatar, Kathmandu",44500000,1711.25,14,east,2.5,5.0,5.0,19.0
"Jyotinagar, Kathmandu",31500000,1197.875,13,south,2.5,6.0,5.0,19.0
"Budhanilkantha, Kathmandu",40000000,1471.675,13,west,2.5,5.0,4.0,16.0
"Tilingtar, Kathmandu",45000000,1813.925,20,east,3.5,,,13.0
"Naya Bazar, Kathmandu",50000000,2087.725,20,south-west,3.5,8.0,6.0,5.0
"Godawari, Lalitpur",,16770.25,12,,2.5,7.0,4.0,5.0
"Mandikhatar, Kathmandu",,1711.25,14,,,,,11.0
"Chandragiri, Kathmandu",17500000,1026.75,8,west,2.5,6.0,4.0,18.0
"Old Baneshwor, Kathmandu",,2121.9500000000003,12,north,4.0,15.0,,19.0
"Bhaisepati, Lalitpur",32500000,1129.425,13,south-west,2.5,4.0,4.0,19.0
"High Vision Colony, Kathmandu",26000000,1197.875,10,east,2.5,4.0,4.0,16.0
"Nakkhu, Lalitpur",,2395.75,13,north,2.5,4.0,5.0,13.0
"Imadol, Lalitpur",65000000,4107.0,13,south,3.0,7.0,3.0,5.0
"Nakkhu, Lalitpur",,2395.75,13,north,2.5,4.0,5.0,5.0
"Bhaisepati, Lalitpur",38500000,1437.45,12,south,2.0,3.0,4.0,5.0
"Karyabinayak, Lalitpur",,1026.75,10,north-west,2.5,4.0,3.0,5.0
"Sitapaila, Kathmandu",37500000,2395.75,13,south,2.5,4.0,3.0,5.0
"Naya Basti, Kathmandu",23500000,1711.25,10,south,2.0,4.0,2.0,11.0
"Budhanilkantha, Kathmandu",55000000,2566.875,15,south-west,3.5,7.0,8.0,7.0
"Budhanilkantha, Kathmandu",,1095.2,13,west,2.5,5.0,4.0,5.0
"Pasikot, Kathmandu",53500000,2429.975,13,south-west,3.5,7.0,5.0,11.0
"Kupandole, Lalitpur",140000000,1711.25,22,east,5.5,10.0,10.0,5.0
"Dhapasi, Kathmandu",,4894.175,12,,4.0,4.0,6.0,4.0
"Bhaisepati, Lalitpur",50000000,1369.0,12,west,2.5,5.0,6.0,12.0
"Kusunti, Lalitpur",115000000,4107.0,26,north,2.5,4.0,4.0,6.0
"Bhaisepati, Lalitpur",35000000,1129.425,22,west,2.5,5.0,4.0,10.0
"Budhanilkantha, Kathmandu",,1369.0,25,south-west,2.5,6.0,5.0,7.0
"Kupandole, Lalitpur",48000000,1711.25,22,east,5.0,8.0,5.0,5.0
"Syuchatar, Kathmandu",32500000,1779.7,13,east,3.0,6.0,3.0,4.0
"Bhaisepati, Lalitpur",170000000,4791.5,13,east,3.5,6.0,4.0,5.0
"Panauti, Kavrepalanchok",19500000,1403.225,20,,2.5,4.0,4.0,31.0
"Sunakothi, Lalitpur",35000000,1403.225,20,east,2.5,5.0,4.0,32.0
"Bhaisepati, Lalitpur",41000000,1711.25,20,east,2.5,4.0,5.0,4.0
"Gahana Pokhari, Kathmandu",70000000,2156.1749999999997,11,south,2.0,6.0,5.0,6.0
"Hattiban, Lalitpur",85000000,2738.0,32,north,2.0,4.0,4.0,18.0
"Tahachal, Kathmandu",190000000,3490.95,13,south-west,5.0,10.0,8.0,5.0
"Bistachhap, Lalitpur",22000000,3148.7,20,east,2.5,4.0,3.0,23.0
"Bhimsengola, Kathmandu",102000000,3080.25,20,west,2.5,5.0,4.0,15.0
"Battisputali, Kathmandu",95000000,3422.5,13,south,2.5,5.0,4.0,16.0
"Sundarbasti, Kathmandu",39000000,1711.25,13,east-north,2.5,5.0,3.0,18.0
"Besigaun, Kathmandu",27000000,1060.9750000000001,13,east-south,2.5,6.0,3.0,5.0
"Gorkarneshwor, Kathmandu",13000000,1026.75,13,east,1.0,2.0,1.0,16.0
"Kusunti, Lalitpur",40500000,1882.375,13,east-north,2.0,4.0,3.0,31.0
"Khusibu, Kathmandu",32500000,752.95,26,east,4.0,6.0,4.0,4.0
"Pasikot, Kathmandu",33000000,2053.5,13,east-south,2.5,6.0,4.0,6.0
"Budhanilkantha, Kathmandu",62500000,2121.9500000000003,15,east-north,2.5,6.0,6.0,7.0
"Baniyatar, Kathmandu",20500000,1026.75,10,west,2.5,4.0,3.0,4.0
"Imadol, Lalitpur",,1369.0,16,east,2.5,4.0,4.0,6.0
"Bansbari, Kathmandu",50000000,2395.75,13,south,2.5,4.0,4.0,5.0
"Imadol, Lalitpur",23500000,1060.9750000000001,13,north,2.5,3.0,4.0,5.0
"Satdobato, Lalitpur",70000000,3114.475,10,east,4.5,12.0,4.0,8.0
"Samakhushi chowk, Kathmandu",29500000,1129.425,15,west,3.0,,,6.0
"Budhanilkantha, Kathmandu",95000000,5818.25,17,east,3.5,6.0,5.0,8.0
"Gaushala, Kathmandu",32500000,1369.0,13,east,2.5,11.0,2.0,9.0
"Bhimsengola, Kathmandu",73500000,2053.5,10,east-north,2.5,6.0,4.0,5.0
"Goldhunga, Kathmandu",32000000,1369.0,20,north,2.5,4.0,4.0,8.0
"Budhanilkantha, Kathmandu",125000000,6160.5,15,east,2.5,5.0,5.0,8.0
"Ganesh Chowk, Kathmandu",32500000,1197.875,14,south-west,2.5,5.0,5.0,5.0
"Samakhusi, Kathmandu",160000000,5476.0,20,south,5.0,12.0,5.0,8.0
"Ranibari, Kathmandu",130000000,5476.0,20,west,3.5,7.0,4.0,7.0
"Nagarjun, Kathmandu",25000000,1060.9750000000001,16,east-north,2.5,4.0,3.0,7.0
"Pepsicola, Kathmandu",29000000,787.175,20,east,2.5,5.0,2.0,21.0
"Sanepa, Lalitpur",190000000,5476.0,18,west,3.0,5.0,5.0,11.0
"Wasik, Kathmandu",41000000,1779.7,13,south-west,3.0,5.0,4.0,17.0
"Sukedhara, Kathmandu",45000000,2395.75,12,east,2.5,4.0,3.0,6.0
"Thaiba, Lalitpur",50000000,1779.7,20,south-west,2.5,4.0,3.0,6.0
"Katunje, Bhaktapur",95000000,3764.75,14,north-west,2.5,6.0,4.0,6.0
"Dhapasi, Kathmandu",47500000,2087.725,12,east-south,2.5,3.0,4.0,6.0
"Basundhara, Kathmandu",87500000,2156.1749999999997,20,south,3.5,7.0,6.0,9.0
"Bhaisepati, Lalitpur",35000000,1711.25,10,east,3.5,8.0,4.0,23.0
"Narayantar, Kathmandu",53500000,2772.225,12,north-west,4.0,8.0,4.0,13.0
"Sukedhara, Kathmandu",39000000,1369.0,14,south,2.5,6.0,4.0,7.0
"Ranibari, Kathmandu",35000000,1369.0,22,west,3.0,6.0,3.0,9.0
"Goldhunga, Kathmandu",25000000,1095.2,10,west,2.5,5.0,,9.0
"Budhanilkantha, Kathmandu",,1369.0,14,south,2.5,6.0,4.0,11.0
